Event_Name,LeftImageSerialNumber,RightImageSerialNumber,Speaker,대사,선택지가 있는가?,선택지 대사,선택후 대사
Stage_1,0,1,1,"으아아@ 요즘 우리 학교 학생들 왜 이래?!",,,
,0,1,1,요즘 과제에@ 시험에@ 팀플까지… 다들 좀비처럼 걸어 다니잖아!,,,
,0,1,1,안되겠다. 이 치토님이 직접 나서야 할 때가 왔어. (소근소근) 나 아니면 누가 하지?,,,
,0,1,1,근데 말야@ 나 혼자 하기엔 조금 벅차서… 너@ 나 좀 도와줄래?,,,
,0,1,1,건물마다 내 무기들이 봉인돼 있거든. 그걸 모으면 나 완전 멋있어질 거야!,,,
,0,1,1,(작은 목소리로) 그 김에 학교도 구하고…,,,
,0,1,1,나랑 같이 가줄 거지?,1,,
end,,,,,,,
Stage_2,0,1,1,와@ 이건 플라스크잖아?! ,,,
,0,2,2,자연대의 신비한 과학의 힘이 여기에 담겨 있다니…,,,
,0,2,2,이제 내가 좀 과학적으로 강해졌달까? ,,,
,0,2,2,다음은 동관! 공대의 줄자를 가지러 가자!,,,
end,,,,,,,
Stage_3,0,1,1,드디어 줄자를 손에 넣었네! 공대의 정밀함이 내 손에 들어왔다고!,,,
,0,3,3,이제 건물 높이@ 각도@ 심지어 내 자신감까지 다 계산 가능!,,,
,0,3,3,다음은 팔달관으로 가서 소융대의 노트북을 노리자고!,,,
end,,,,,,,
Stage_4,0,1,1,노트북이라니! 소융대의 데이터 처리 능력이 내 손에 쥐어졌다!,,,
,0,4,4,여기 와이파이 좀 잡아도 될까? 헤헤. 농담이야.,,,
,0,4,4,자@ 다음은 율곡관! 사과대의 연필을 찾아 떠나자!”,,,
end,,,,,,,
Stage_5,0,1,1,연필을 얻었구나! 왜인지 연필을 얻고 나니 사과대 지식의 힘이 나를 더 똑똑하게 만들어 주는 느낌이 든달까…,,,
,0,5,5,자@ 이제 다음은 송재관으로! 의과대의 청진기가 나를 기다리고 있다고!,,,
end,,,,,,,
Stage_6,0,1,1,이건 청진기야! 청진기 덕분에 이제부터 의과대의 정밀한 진단력이 나와 함께해줄 수 있을 거야!,,,
,0,6,6,숨만 쉬어도 학생들 상태를 알아낼 수 있을 것 같은 기분이 드는 거 있지!?,,,
,0,6,6,이어서 홍제관으로 가서 간호대의 주사기를 찾아야겠어!”,,,
end,,,,,,,
Stage_7,0,1,1,주사기 획득! 간호대의 치유력이 나를 든든하게 만들어주고 있어!,,,
,0,7,7,이제 연암관으로 가자! 정통대의 안테나가 필요하다고!,,,
end,,,,,,,
Stage_8,0,1,1,안테나 발견! 정통대의 신호를 잡아서 캠퍼스 전체를 커버할 준비 완료!,,,
,0,8,8,이제 다산관으로 가서 인문대의 책을 가져오자!,,,
end,,,,,,,
Stage_9,0,1,1,책을 얻었어! 이 책 덕분에 인문대의 깊은 사고력과 통찰력이 나를 지혜롭게 만들어 줄 것 같은데?,,,
,0,9,9,이제 마지막이다! 약학대로 가서 치유의 약봉투를 얻자!,,,
end,,,,,,,
Stage_10,0,10,10,우와아@ 약봉투야! 약학대의 치유력이 나와 함께하니@ 이제 모든 준비가 끝났어!,,,
,0,1,1,드디어 마지막 관문이야… 이 학교를 혼란에 빠뜨린 진짜 원흉이 바로 산학원에 있어!,,,
,0,1,1,그런데 말이야… 이 보스@ 진짜 만만치 않을 거라고 들었거든.,,,
,0,1,1,하지만 걱정 마! 지금까지 내가 모은 무기들로 엄청난 힘을 보여줄 테니까!,,,
,0,1,1,우리 같이 끝장을 내자! 준비 됐지? 우리의 아주대학교를 지켜보자구!,,,
end,,,,,,,
Stage_11,0,1,1,"우와@ 우리가 해냈어! 교수님도 완벽히 정화됐고, 캠퍼스도 다시 평화를 되찾았어!",,,
,0,1,1,덕분에 아마 당분간은 이 평화가 유지될 것 같아.,,,
,0,1,1,솔직히@ 너 없었으면 여기까지 못 왔을 거야. 정말 고마워!,,,
,0,1,1,근데 다음에도 또 이런 일이 생기면… 도와줄 거지? (윙크),,,
end,,,,,,,
select,0,1,1,,,좋아@ 치토! 함께 학교를 지키러 가보자고!,s1
,,1,1,,,에이@ 치토… 그건 네가 혼자서도 해낼 수 있지 않을까?,s2
end,,,,,,,
s1,0,1,1,역시 믿고 있었다구! ,,,
,0,1,1,자@ 우리 아주대학교 구출 작전을 시작하자!,,,
,0,1,1,무기를 모아서 나 치토님을 더 멋있게 만들어줄 기회라구!,,,
,0,1,1,자@ 더 이상 꾸물거리지 말고 얼른 가보자! 그럼@ 출발!”,,,
end,,,,,,,
s2,0,1,1,뭐라고?! 나 혼자 하라고?!,,,
,0,1,1,내가 이런 귀여운 얼굴로 아주대를 구하려면 나를 강하게 만들어 줄 무기가 필요하다구!,,,
,0,1,1,너 정말 나한테 이럴 거야? 좀 도와주라~ ,,,
,0,1,1,학교도 살리고@ 나도 살고@ 너도 칭찬받고~ 상부상조 몰라?!,,,
,0,1,1,그러니까 한 번만 도와줘~ 제발?”,2,,
end,,,,,,,
select2,0,1,1,,,아@ 알겠어@ 알겠어. 귀여운 얼굴로 부탁하니까 못 이기겠네!,s3
end,,,,,,,
s3,0,1,1,역시 넌 나를 이해해줄 줄 알았어! 특별히 네 이름은 영웅 명단 맨 위에 올려줄게.,,,
,0,1,1,(작은 목소리로) 근데 내가 맨 앞이라는 건 잊지 말아야 해?,,,
,0,1,1,자@ 어서 가자고! 아주대가 우리를 기다리고 있어!”,,,
end,,,,,,,
